"Username","Employee Id","Badge Id","Employee External Id","EIN Tax Id","EIN Name","Pay Date","In Date","Time In","Time Out","Total Time","Piece Quantity","Time Zone","Override","Time Off","Cost Center 1","Cost Center 2","Cost Center 3","Cost Center 4","Cost Center 5","Custom 1","Custom 2","Custom 3","Custom 4","Custom 5","Rate Override 1","Rate Override 2","Rate Override 3","Rate Override 4","Rate Override 5","Shift","PieceRate Override 1","Piece Rate Override 2","Piece Rate Override 3","Piece Rate Override 4","Piece Rate Override 5","Pay Category","Reason Code In","Reason Code Out","Note"
"","10975","","","","","05/29/2020","","","","3:51","","","","","5","Regular","","","","WINN DIXIE #0506","20,391","4,581","7","","","","","","","","","","","","","","","",""
"","14613","","","","","05/29/2020","","","","0.01","","","","No Show","18","","","","","WINN DIXIE #0506","","","","","","","","","","","","","","","","","","",""
"","13729","","","","","05/29/2020","","","","3:34","","","","","18","Regular","","","","WINN DIXIE #0506","20,916","5,949","20","","","","","","","","","","","","","","","",""
"","13729","","","","","05/29/2020","","","","2:01","","","","","18","Driving Pay","","","","WINN DIXIE #0506","","","","","","","","","","","","","","","","","","",""
"","14674","","","","","05/29/2020","","","","2:43","","","","","18","Regular","","","","WINN DIXIE #0506","25,396","1,016","8","","","","","","","","","","","","","","","",""
"","14674","","","","","05/29/2020","","","","","77","","","","18","JSA","","","","WINN DIXIE #0506","","","","","","","","","","","","","","","","","","",""
"","13912","","","","","05/29/2020","","","","3:53","","","","","18","Regular","","","","WINN DIXIE #0506","23,313","3,074","64","","","","","","","","","","","","","","","",""
"","13912","","","","","05/29/2020","","","","","77","","","","18","JSA","","","","WINN DIXIE #0506","","","","","","","","","","","","","","","","","","",""
"","14420","","","","","05/29/2020","","","","3:52","","","","","5","Regular","","","","WINN DIXIE #0506","19,026","5,186","15","","","","","","","","","","","","","","","",""
"","14476","","","","","05/29/2020","","","","3:57","","","","","5","Regular","","","","WINN DIXIE #0506","7,388","1,714","50","","","","","","","","","","","","","","","",""
