"Username","Employee Id","Badge Id","Employee External Id","EIN Tax Id","EIN Name","Pay Date","In Date","Time In","Time Out","Total Time","Piece Quantity","Time Zone","Override","Time Off","Cost Center 1","Cost Center 2","Cost Center 3","Cost Center 4","Cost Center 5","Custom 1","Custom 2","Custom 3","Custom 4","Custom 5","Rate Override 1","Rate Override 2","Rate Override 3","Rate Override 4","Rate Override 5","Shift","PieceRate Override 1","Piece Rate Override 2","Piece Rate Override 3","Piece Rate Override 4","Piece Rate Override 5","Pay Category","Reason Code In","Reason Code Out","Note"
"","14761","","","","","11/05/2020","","","","4:47","","","","","1","Regular","GREER46","","","","6,089","3,996","0","","","","","","","","","","","","","","","",""
"","14761","","","","","11/05/2020","","","","","99","","","","1","JSA","GREER46","","","GREERS #46","","","","","","","","","","","","","","","","","","",""
"","2053","","","","","11/05/2020","","","","5:15","","","","","1","Regular","GREER46","","","","12,979","5,510","28","","","","","","","","","","","","","","","",""
"","2053","","","","","11/05/2020","","","","2:13","","","","","1","Driving Pay","GREER46","","","GREERS #46","","","","","","","","","","","","","","","","","","",""
"","82","","","","","11/05/2020","","","","5:20","","","","","1","Regular","GREER46","","","","16,736","5,989","66","","","","","","","","","","","","","","","",""
"","82","","","","","11/05/2020","","","","","99","","","","1","JSA","GREER46","","","GREERS #46","","","","","","","","","","","","","","","","","","",""
"","14794","","","","","11/05/2020","","","","4:36","","","","","1","Regular","GREER46","","","","16,198","7,337","0","","","","","","","","","","","","","","","",""
"","14794","","","","","11/05/2020","","","","","99","","","","1","JSA","GREER46","","","GREERS #46","","","","","","","","","","","","","","","","","","",""
"","14761","","","","","11/05/2020","","","","1:25","","","","","1","Regular","BONITAC","","","","9,493","3,635","0","","","","","","","","","","","","","","","",""
"","14761","","","","","11/05/2020","","","","0:47","","","","","1","Travel Pay","BONITAC","","","BONITA CHEVRON","","","","","","","","","","","","","","","","","","",""
"","14761","","","","","11/05/2020","","","","","77","","","","1","JSA","BONITAC","","","BONITA CHEVRON","","","","","","","","","","","","","","","","","","",""
"","2053","","","","","11/05/2020","","","","1:25","","","","","1","Regular","BONITAC","","","","29,346","10,650","0","","","","","","","","","","","","","","","",""
"","2053","","","","","11/05/2020","","","","0:47","","","","","1","Driving Pay","BONITAC","","","BONITA CHEVRON","","","","","","","","","","","","","","","","","","",""
