"Username","Employee Id","Badge Id","Employee External Id","EIN Tax Id","EIN Name","Pay Date","In Date","Time In","Time Out","Total Time","Piece Quantity","Time Zone","Override","Time Off","Cost Center 1","Cost Center 2","Cost Center 3","Cost Center 4","Cost Center 5","Custom 1","Custom 2","Custom 3","Custom 4","Custom 5","Rate Override 1","Rate Override 2","Rate Override 3","Rate Override 4","Rate Override 5","Shift","PieceRate Override 1","Piece Rate Override 2","Piece Rate Override 3","Piece Rate Override 4","Piece Rate Override 5","Pay Category","Reason Code In","Reason Code Out","Note"
"","15109","","","","","04/12/2021","","","","3:31","","","","","7","Regular","SPR0049","","","","12,916","3,486","0","","","","","","","","","","","","","","","",""
"","15109","","","","","04/12/2021","","","","","57","","","","7","JSA","SPR0049","","","SPRINT MART #0049","","","","","","","","","","","","","","","","","","",""
"","15192","","","","","04/12/2021","","","","3:32","","","","","7","Regular","SPR0049","","","","4,315","1,262","22","","","","","","","","","","","","","","","",""
"","15192","","","","","04/12/2021","","","","","57","","","","7","JSA","SPR0049","","","SPRINT MART #0049","","","","","","","","","","","","","","","","","","",""
"","14437","","","","","04/12/2021","","","","4:12","","","","","7","Regular","SPR0049","","","","15,178","1,875","159","","","","","","","","","","","","","","","",""
"","14437","","","","","04/12/2021","","","","1:22","","","","","7","Driving Pay","SPR0049","","","SPRINT MART #0049","","","","","","","","","","","","","","","","","","",""
"","14742","","","","","04/12/2021","","","","3:31","","","","","7","Regular","SPR0049","","","","14,845","5,379","0","","","","","","","","","","","","","","","",""
"","14742","","","","","04/12/2021","","","","","57","","","","7","JSA","SPR0049","","","SPRINT MART #0049","","","","","","","","","","","","","","","","","","",""
"","13423","","","","","04/13/2021","","","","2:44","","","","","3","Regular","KEI080","","","","25,506","4,661","0","","","","","","","","","","","","","","","",""
"","13423","","","","","04/13/2021","","","","1:04","","","","","3","Driving Pay","KEI080","","","KEITHS #080","","","","","","","","","","","","","","","","","","",""
"","10437","","","","","04/13/2021","","","","2:44","","","","","3","Regular","KEI080","","","","19,656","4,649","14","","","","","","","","","","","","","","","",""
"","10437","","","","","04/13/2021","","","","","42","","","","3","JSA","KEI080","","","KEITHS #080","","","","","","","","","","","","","","","","","","",""
"","12406","","","","","04/13/2021","","","","3:4","","","","","3","Regular","KEI080","","","","13,614","3,118","37","","","","","","","","","","","","","","","",""
"","12406","","","","","04/13/2021","","","","","42","","","","3","JSA","KEI080","","","KEITHS #080","","","","","","","","","","","","","","","","","","",""
"","15148","","","","","04/13/2021","","","","2:22","","","","","3","Regular","KEI080","","","","7,575","3,138","7","","","","","","","","","","","","","","","",""
"","15148","","","","","04/13/2021","","","","","42","","","","3","JSA","KEI080","","","KEITHS #080","","","","","","","","","","","","","","","","","","",""
"","15052","","","","","04/13/2021","","","","2:44","","","","","3","Regular","KEI080","","","","8,614","2,483","6","","","","","","","","","","","","","","","",""
"","15052","","","","","04/13/2021","","","","","42","","","","3","JSA","KEI080","","","KEITHS #080","","","","","","","","","","","","","","","","","","",""
"","15146","","","","","04/13/2021","","","","1:50","","","","","30","Regular","TRAD733","","","","31,035","3,355","0","","","","","","","","","","","","","","","",""
"","15146","","","","","04/13/2021","","","","","8","","","","30","JSA","TRAD733","","","TRADER JOES #733","","","","","","","","","","","","","","","","","","",""
"","14887","","","","","04/13/2021","","","","4:10","","","","","30","Regular","TRAD733","","","","17,445","4,408","6","","","","","","","","","","","","","","","",""
"","14887","","","","","04/13/2021","","","","","8","","","","30","JSA","TRAD733","","","TRADER JOES #733","","","","","","","","","","","","","","","","","","",""
"","14621","","","","","04/13/2021","","","","5:1","","","","","30","Regular","TRAD733","","","","7,029","2,054","7","","","","","","","","","","","","","","","",""
"","14621","","","","","04/13/2021","","","","","8","","","","30","JSA","TRAD733","","","TRADER JOES #733","","","","","","","","","","","","","","","","","","",""
"","14730","","","","","04/13/2021","","","","5:0","","","","","30","Regular","TRAD733","","","","8,583","2,839","18","","","","","","","","","","","","","","","",""
"","14730","","","","","04/13/2021","","","","","8","","","","30","JSA","TRAD733","","","TRADER JOES #733","","","","","","","","","","","","","","","","","","",""
"","11807","","","","","04/13/2021","","","","6:5","","","","","30","Regular","TRAD733","","","","28,864","8,080","14","","","","","","","","","","","","","","","",""
"","11807","","","","","04/13/2021","","","","","8","","","","30","JSA","TRAD733","","","TRADER JOES #733","","","","","","","","","","","","","","","","","","",""
"","15021","","","","","04/13/2021","","","","4:6","","","","","30","Regular","TRAD733","","","","13,931","3,667","8","","","","","","","","","","","","","","","",""
"","15021","","","","","04/13/2021","","","","","8","","","","30","JSA","TRAD733","","","TRADER JOES #733","","","","","","","","","","","","","","","","","","",""
"","13928","","","","","04/13/2021","","","","4:54","","","","","30","Regular","TRAD733","","","","17,892","4,733","11","","","","","","","","","","","","","","","",""
"","13928","","","","","04/13/2021","","","","","8","","","","30","JSA","TRAD733","","","TRADER JOES #733","","","","","","","","","","","","","","","","","","",""
"","14877","","","","","04/13/2021","","","","5:24","","","","","30","Regular","TRAD733","","","","12,368","4,118","31","","","","","","","","","","","","","","","",""
"","14877","","","","","04/13/2021","","","","","8","","","","30","JSA","TRAD733","","","TRADER JOES #733","","","","","","","","","","","","","","","","","","",""
"","14595","","","","","04/13/2021","","","","5:02","","","","","30","Regular","TRAD733","","","","11,232","3,653","5","","","","","","","","","","","","","","","",""
"","14595","","","","","04/13/2021","","","","1:06","","","","","30","Driving Pay","TRAD733","","","TRADER JOES #733","","","","","","","","","","","","","","","","","","",""
"","15032","","","","","04/13/2021","","","","4:58","","","","","30","Regular","TRAD733","","","","11,019","2,558","23","","","","","","","","","","","","","","","",""
"","15032","","","","","04/13/2021","","","","","8","","","","30","JSA","TRAD733","","","TRADER JOES #733","","","","","","","","","","","","","","","","","","",""
"","9480","","","","","04/13/2021","","","","6:5","","","","","30","Regular","TRAD733","","","","20,063","3,803","159","","","","","","","","","","","","","","","",""
"","9480","","","","","04/13/2021","","","","1:34","","","","","30","Driving Pay","TRAD733","","","TRADER JOES #733","","","","","","","","","","","","","","","","","","",""
"","14504","","","","","04/13/2021","","","","1:49","","","","","30","Regular","TRAD733","","","","47,736","6,243","0","","","","","","","","","","","","","","","",""
"","14504","","","","","04/13/2021","","","","","8","","","","30","JSA","TRAD733","","","TRADER JOES #733","","","","","","","","","","","","","","","","","","",""
"","15146","","","","","04/13/2021","","","","5:48","","","","","30","Regular","K#440","","","","8,343","2,536","24","","","","","","","","","","","","","","","",""
"","6293","","","","","04/13/2021","","","","6:34","","","","","30","Regular","K#440","","","","35,016","9,049","272","","","","","","","","","","","","","","","",""
"","14887","","","","","04/13/2021","","","","5:8","","","","","30","Regular","K#440","","","","15,875","2,469","0","","","","","","","","","","","","","","","",""
"","14375","","","","","04/13/2021","","","","3:21","","","","","30","Regular","K#440","","","","26,237","3,608","12","","","","","","","","","","","","","","","",""
"","12324","","","","","04/13/2021","","","","5:12","","","","","30","Regular","K#440","","","","22,392","5,073","20","","","","","","","","","","","","","","","",""
